Column1;Column2;Column3;Column4;Column5;Column6;Column7
l8cYBeSsL8Kvc93xC1wM;Grand Prix Apollon Temple femenino;;Grand Prix Apollon Temple Women;;;
qAvoEr0AnHfE8jUoS9Td;Grand Prix Cerami;;Grand Prix Cerami;;;
6VaFa9VIWUwS0UEWUHgr;Grand Prix Chantal Biya;;Grand Prix Chantal Biya;;;
nIzO5S8H2FFWlx620Jyi;Grand Prix Criquielion;;Grand Prix Criquielion;;;
LSkZxs95KeyYnvejONAp;Grand Prix d'Isbergues - Pas de Calais;;Grand Prix d'Isbergues - Pas-de-Calais;;;
9ftMliBlffFeSFNdHAHu;Grand Prix d'Ongola;;Grand Prix d'Ongola;;;
s8Nk7N83ddJ8CLMKIUrT;Grand Prix Davraz;;Grand Prix Davraz;;;
bgIhUD1z46tx7zex8jRx;Grand Prix de la Somme Conseil Départemental 80;;Grand Prix de la Somme Conseil Départemental 80;;;
SJbB52Wky1J0F6LziIcv;Grand Prix de la ville de Cotonou;;Grand Prix de la ville de Cotonou;;;
SX74MuCnYR17dtOWZk02;Grand Prix de la ville de Pérenchies;;Grand Prix de la ville de Pérenchies;;;
Q0vSA4rkE9yBpAXGGia7;Grand Prix de Lillers;;Grand Prix de Lillers;;;
pNkd3Hguq2gWJqBVnP1R;Grand Prix de Oriente;;Grand Prix de Oriente;;;
ZElvTrtAZLKFakGQwnwV;Grand Prix de Wallonie;;Grand Prix de Wallonie;;;
bTJWucza8OlotIP9x0mJ;Grand Prix de Wallonie Dames;;Grand Prix de Wallonie Dames;;;
cgSedhFR62XpyHmNDzs7;Grand Prix des Amazones;;Grand Prix des Amazones;;;
AnNJh4FAH50GxBLv9h7L;Grand Prix du Morbihan;;Grand Prix du Morbihan;;;
mPr0QX9ybLcKWMjMry1N;Grand Prix du Morbihan Femmes;;Grand Prix du Morbihan Femmes;;;
ugdfP4FzXvL7SwaIqZPI;Grand Prix El Djazaïr;;Grand Prix El Djazaïr;;;
7jHNeH8PqaoSRHxebFhn;Grand Prix El Salvador;;Grand Prix El Salvador;;;
QXryJLOoYzHXFDjvODZw;Grand Prix Féminin de Chambéry;;Grand Prix Féminin de Chambéry;;;
PzUgNcfj3qzue0bpeNzk;Grand Prix Fergana;;Grand Prix Fergana;;;
uQG1yWJfDB5UI1GocqGU;Grand Prix Fergana Ladies;;Grand Prix Fergana Ladies;;;
fGvZVYzUd7pU6O0h4f1y;Grand Prix Gölcük;;Grand Prix Gölcük;;;
144K9kapnz6BHkGomEb9;Grand Prix Isparta;;Grand Prix Isparta;;;
ByODVSj43EMpssXsmSvw;Grand Prix Jizzakh;;Grand Prix Jizzakh;;;
ODsazjRk82753IfXQQOl;Grand Prix Jizzakh Ladies;;Grand Prix Jizzakh Ladies;;;
60xNlgLkwHGJ1V92SmVM;Grand Prix Longitudinal del Norte;;Grand Prix Longitudinal del Norte;;;
XLYk4g0L10C4PDVg3Cjc;Grand Prix Navoi;;Grand Prix Navoi;;;
ONc6mBGZnqvrGV5ojsoc;Grand Prix Navoi femenino;;Grand Prix Navoi Women;;;
zFei5xYMvIMQ73RinZL7;Grand Prix Pedalia;;Grand Prix Pedalia;;;
iHbnRfB1xkImA6FYm54F;Grand Prix Region Stuttgart;;Grand Prix Region Stuttgart;;;
cxr176nznBWcG529bOaB;Grand Prix Rose;;Grand Prix Rose;;;
RBYyNFnYOrmD1Vuo0ylH;Grand Prix San Salvador;;Grand Prix San Salvador;;;
tQceZjdbfpcZlDteMdpf;Grand Prix Syedra Ancient City;;Grand Prix Syedra Ancient City;;;
pPQb1rlnG2ZHjp55QFPj;Grote Prijs CHW Beveren;;Grote Prijs CHW Beveren;;;
a1RcHgxza2UPhlXb3elb;Herald Sun Tour;;Herald Sun Tour;;;
aLkCJmtyjI7qWNThHCnC;Herald Sun Tour femenino;;Herald Sun Tour Women;;;
Um8J8KLBfuslDe2W0bDx;Heylen Vastgoed Heistse Pijl;;Heylen Vastgoed Heistse Pijl;;;
OFLf5B571GLqFoTs8cJS;Il Giro d'Abruzzo;;Il Giro d'Abruzzo;;;
xFUyKjsXhfypjsuzvABZ;Il Lombardia;;Il Lombardia;;;
M4voWInPQkXP9r2Mo5Ip;Il Lombardia sub23;;Il Lombardia sub23;;;
0Sb74D65l3gUiIDX0JLN;In Flanders Fields (Gante-Wevelgem);;In Flanders Fields (Gante-Wevelgem);;;
lhy2zooIdwCYAV5iCbwT;In Flanders Fields femenina (Gante-Wevelgem);;In Flanders Fields Women (Gante-Wevelgem);;;
RM8rzDjFlmw4c9E61P7N;In Flanders Fields sub23 (Kattekoers / Ieper);;In Flanders Fields U23 (Kattekoers / Ieper);;;
BGBQxoHQGWWA3RXqScGX;Istrian Spring Tour;;Istrian Spring Tour;;;
bc1rMXhiMd3vP2ObdXQE;Itzulia Basque Country;Vuelta al País Vasco;Itzulia Basque Country;;;
aSVVmbA6FBTrn6pqOTsh;Itzulia Women;Vuelta al País Vasco femenina;Itzulia Women;;;
YpXeh4x7f7jJcsAAhXsK;Ixina Classic - GP Stad Halle;;Ixina Classic - GP Stad Halle;;;
gkhofMIYgkqVUnDqpGX1;IXINA Leeuw-Oetingen;;IXINA Leeuw-Oetingen;;;
8ClP1xed3wUt33g7NZde;Jamaica International Cycling Classic;;Jamaica International Cycling Classic;;;
wyPulMAO9ifb8EIobUsV;Konvert Kortrijk Koerse;;Konvert Kortrijk Koerse;;;
tvXsn05qNn1Waz7V9pEi;Kreiz Breizh;;Kreiz Breizh;;;
Dj73W2yn1T24QuIt5r2m;Kreiz Breizh Elites Féminin;;Kreiz Breizh Elites Féminin;;;
apxsgDf99saaAeLft53a;Kuurne-Bruselas-Kuurne;Kuurne-Brussel-Kuurne;Kuurne-Brussel-Kuurne;;;
SzXK9iYZJ4RhchnMYiqS;La Choralis Fourmies Féminine;;La Choralis Fourmies Féminine;;;
fNZ1y5R9Qo4cNI2ZxnBn;La Classique Morbihan;;La Classique Morbihan;;;
LLacEqTGenn5AxN7KQfR;La Périgord Ladies;;La Périgord Ladies;;;
fFHZgqUY5dSEerzTpRa6;La Picto en Nouvelle-Aquitaine;;Tour of Nouvelle-Aquitaine;;;
k9QjU6qsXeHZtVLdVjDw;La Polynormande;;La Polynormande;;;
ZSuZlScT9k1WpjjAMr6b;La Roue Tourangelle;;La Roue Tourangelle;;;
EwtHYhBYrTwdKolDQD1Q;La Vuelta;;La Vuelta;;;
taQ8W871nGdN2U2z6s2r;La Vuelta Femenina;;La Vuelta Femenina;;;
iWkaNtg92f5Hb1p93GZS;Le Tour de Filipinas;;Tour of the Philippines;;;
5vzUvaKoEZMTSaH706TY;Lieja-Bastoña-Lieja;Liège-Bastogne-Liège;Liège–Bastogne–Liège;;;
DwEfRjltpmp9BF2UgHut;Lieja-Bastoña-Lieja femenina;Liège-Bastogne-Liège Femmes;Liège–Bastogne–Liège Femmes;;;
yfGuui2JJLEF2gUbzsoV;Lieja-Bastoña-Lieja sub23;Liège-Bastogne-Liège;Liège-Bastogne-Liège Espoirs;;;
GPSGP6tOIDeHtzPe8oLH;LOTTO Thüringen Women Challenge;;LOTTO Thüringen Women Challenge;;;
9EFNhASFWJMJA17kWqLn;Lyon-Turín;;Lyon-Turin;;;
DQGUsK7WcVahshH2lnTe;Maryland Classic;;Maryland Classic;;;
7WPWu2Scrf6UdHVaMgsV;Maryland Classic femenina;;Maryland Classic Women;;;
l8LQtcKX4GjianXG9xLt;Memoria_ Andrzeja Trochanowskiego;;Andrzej Trochanowski Memorial;;;
x94DMD02bEe2BnSTAoEd;Memorial Marco Pantani;;Memorial Marco Pantani;;;
3thoyKfMutnkyq9bZbvO;Mercan'Tour Classic Alpes-Maritimes;;Mercan'Tour Classic Alpes-Maritimes;;;
yLryYtuioff65Cmx181l;Midden-Brabant Poort Omloop;;Midden-Brabant Poort Omloop;;;
qqnuBBhoZMKiJ3mnmorO;Midwest Classic;;Midwest Classic;;;
YE4NMKR6M7COxmxErNGA;Milán-San Remo;;Milano-Sanremo;;;
wSQTjbyJbZQnr7VOPIes;Milán-Turín;Milano-Torino;Milano-Torino;;;
REeoRUJ3vKCMansPwevW;Mirabelle Classic;;Mirabelle Classic;;;
sum8OBuK1NuCs4wt90Eh;Mur de Huy Classic;;Flèche Wallonne;;;
Lt0QSacy0mtBb5YVrmit;Muscat Classic;;Muscat Classic;;;
IHf7H1vVT7vFUpY2qyG2;Muur Classic Geraardsbergen;;Muur Classic Geraardsbergen;;;
dSlFW31kLYo2dFVm2oTt;Muur Classic Geraardsbergen femenina;;Muur Classic Geraardsbergen Women;;;
sNEevC7RHu23X881Yp7M;Navarra Women's Elite Classics;;Navarra Women's Elite Classics;;;
FmHVHjiKR71monr7z6jh;Nokere Koerse;;Nokere Koerse;;;
DksUVrDPyRmga7D8qEzE;Nokere Koerse femenina;;Nokere Koerse Women;;;
mG2yd0g1xMlczyqieIHV;NXT Classic;;NXT Classic;;;
swX2bhVSpW63MS9elU8t;NXT Classic femenina;;NXT Women's Classic;;;
aAwDfweQ91NKICDvrvXL;O Gran Camiño;;O Gran Camiño;;;
lwZraFOlJMhV1IKOENQP;Oita Urban Classic Road Race;;Oita Urban Classic Road Race;;;
mBftAo2iKjao2onrymcc;Olympia's Tour;;Olympia's Tour;;;
6jfCEFVzuyxmVS7THjVw;Omloop der Kempen;;Omloop der Kempen;;;
FpD6PhW08Ra2lyj43aAE;Omloop der Kempen Ladies;;Omloop der Kempen Ladies;;;
ZLKXm8puVf4ajW5Aj9ea;Omloop Nieuwsblad;;Omloop Het Nieuwsblad;;;
